image,label
168_1180.jpg,FAKE
72_26.jpg,REAL
48_492.jpg,REAL
158_42.jpg,FAKE
92_900.jpg,REAL
99_264.jpg,REAL
175_242.jpg,FAKE
146_222.jpg,FAKE
131_460.jpg,FAKE
128_1513.jpg,FAKE
97_85.jpg,REAL
135_1290.jpg,FAKE
174_36.jpg,FAKE
74_784.jpg,REAL
96_6.jpg,REAL
135_200.jpg,FAKE
43_366.jpg,REAL
71_130.jpg,REAL
167_116.jpg,FAKE
163_152.jpg,FAKE
49_792.jpg,REAL
99_288.jpg,REAL
66_141.jpg,REAL
67_147.jpg,REAL
169_984.jpg,FAKE
72_58.jpg,REAL
63_174.jpg,REAL
147_192.jpg,FAKE
165_126.jpg,FAKE
176_42.jpg,FAKE
58_96.jpg,REAL
38_408.jpg,REAL
93_1055.jpg,REAL
65_248.jpg,REAL
131_256.jpg,FAKE
70_195.jpg,REAL
117_132.jpg,FAKE
59_330.jpg,REAL
85_226.jpg,REAL
46_174.jpg,REAL
66_369.jpg,REAL
165_111.jpg,FAKE
84_27.jpg,REAL
54_432.jpg,REAL
169_72.jpg,FAKE
38_330.jpg,REAL
120_635.jpg,FAKE
37_144.jpg,REAL
89_795.jpg,REAL
117_276.jpg,FAKE
91_428.jpg,REAL
37_408.jpg,REAL
133_276.jpg,FAKE
133_219.jpg,FAKE
146_804.jpg,FAKE
78_12.jpg,REAL
153_6.jpg,FAKE
87_632.jpg,REAL
87_928.jpg,REAL
45_168.jpg,REAL
34_54.jpg,REAL
40_330.jpg,REAL
101_380.jpg,REAL
76_357.jpg,REAL
65_220.jpg,REAL
64_338.jpg,REAL
147_432.jpg,FAKE
145_1210.jpg,FAKE
158_288.jpg,FAKE
69_302.jpg,REAL
100_940.jpg,REAL
130_30.jpg,FAKE
116_80.jpg,FAKE
49_858.jpg,REAL
86_268.jpg,REAL
164_200.jpg,FAKE
72_240.jpg,REAL
60_366.jpg,REAL
86_422.jpg,REAL
89_205.jpg,REAL
91_740.jpg,REAL
46_162.jpg,REAL
173_26.jpg,FAKE
143_21.jpg,FAKE
115_6.jpg,FAKE
92_864.jpg,REAL
159_114.jpg,FAKE
117_618.jpg,FAKE
48_372.jpg,REAL
70_390.jpg,REAL
121_104.jpg,FAKE
91_464.jpg,REAL
66_21.jpg,REAL
151_693.jpg,FAKE
52_276.jpg,REAL
96_242.jpg,REAL
94_351.jpg,REAL
166_102.jpg,FAKE
87_36.jpg,REAL
173_55.jpg,FAKE
117_744.jpg,FAKE
79_384.jpg,REAL
76_561.jpg,REAL
102_80.jpg,REAL
74_1008.jpg,REAL
91_732.jpg,REAL
37_60.jpg,REAL
167_40.jpg,FAKE
84_588.jpg,REAL
92_1182.jpg,REAL
50_126.jpg,REAL
69_118.jpg,REAL
91_868.jpg,REAL
145_940.jpg,FAKE
69_10.jpg,REAL
91_880.jpg,REAL
57_192.jpg,REAL
53_576.jpg,REAL
148_96.jpg,FAKE
77_696.jpg,REAL
126_580.jpg,FAKE
130_38.jpg,FAKE
46_264.jpg,REAL
144_160.jpg,FAKE
115_174.jpg,FAKE
66_573.jpg,REAL
73_864.jpg,REAL
71_92.jpg,REAL
43_126.jpg,REAL
99_68.jpg,REAL
67_573.jpg,REAL
74_96.jpg,REAL
40_222.jpg,REAL
116_464.jpg,FAKE
122_27.jpg,FAKE
117_378.jpg,FAKE
164_8.jpg,FAKE
70_387.jpg,REAL
63_57.jpg,REAL
172_190.jpg,FAKE
91_668.jpg,REAL
66_759.jpg,REAL
98_40.jpg,REAL
98_91.jpg,REAL
162_34.jpg,FAKE
85_222.jpg,REAL
160_744.jpg,FAKE
87_860.jpg,REAL
123_4.jpg,FAKE
119_530.jpg,FAKE
58_210.jpg,REAL
64_298.jpg,REAL
176_30.jpg,FAKE
144_234.jpg,FAKE
167_32.jpg,FAKE
100_848.jpg,REAL
90_560.jpg,REAL
67_135.jpg,REAL
135_480.jpg,FAKE
166_85.jpg,FAKE
95_176.jpg,REAL
64_208.jpg,REAL
94_249.jpg,REAL
93_365.jpg,REAL
168_970.jpg,FAKE
91_604.jpg,REAL
177_30.jpg,FAKE
48_624.jpg,REAL
121_328.jpg,FAKE
82_663.jpg,REAL
158_69.jpg,FAKE
90_1400.jpg,REAL
95_100.jpg,REAL
91_192.jpg,REAL
66_360.jpg,REAL
64_170.jpg,REAL
36_60.jpg,REAL
73_656.jpg,REAL
65_264.jpg,REAL
79_348.jpg,REAL
76_303.jpg,REAL
80_244.jpg,REAL
158_138.jpg,FAKE
40_186.jpg,REAL
97_112.jpg,REAL
129_33.jpg,FAKE
44_222.jpg,REAL
71_260.jpg,REAL
96_126.jpg,REAL
100_328.jpg,REAL
120_400.jpg,FAKE
90_1370.jpg,REAL
84_342.jpg,REAL
61_1290.jpg,REAL
97_133.jpg,REAL
100_76.jpg,REAL
159_27.jpg,FAKE
68_680.jpg,REAL
51_216.jpg,REAL
122_39.jpg,FAKE
133_318.jpg,FAKE
48_156.jpg,REAL
134_260.jpg,FAKE
67_510.jpg,REAL
121_312.jpg,FAKE
46_240.jpg,REAL
83_768.jpg,REAL
179_6.jpg,FAKE
125_96.jpg,FAKE
147_84.jpg,FAKE
164_182.jpg,FAKE
83_777.jpg,REAL
100_180.jpg,REAL
88_284.jpg,REAL
37_306.jpg,REAL
147_352.jpg,FAKE
74_336.jpg,REAL
76_390.jpg,REAL
143_93.jpg,FAKE
89_630.jpg,REAL
116_552.jpg,FAKE
143_62.jpg,FAKE
157_135.jpg,FAKE
87_548.jpg,REAL
88_160.jpg,REAL
78_171.jpg,REAL
77_9.jpg,REAL
160_312.jpg,FAKE
154_21.jpg,FAKE
70_27.jpg,REAL
134_195.jpg,FAKE
115_306.jpg,FAKE
43_174.jpg,REAL
96_142.jpg,REAL
